order_id,order_date,brand,category,product_name,units_sold,unit_price,gross_revenue,discount_pct,net_revenue,client_id,client_segment,channel,month,weekday,quarter,price_tier,holiday_season
41,2023-11-16,Sephora Collection,Makeup,Highlighter Palette,5.0,41.78,208.9,,208.9,C1170,New,In-Store,2023-11,Thursday,4.0,Mid,1
42,2023-05-11,Laneige,Skincare,Vitamin C Serum,4.0,65.26,261.04,5.0,247.99,C3831,New,In-Store,2023-05,Thursday,2.0,Premium,0
43,2023-11-03,Laneige,Haircare,Scalp Scrub,3.0,14.69,44.07,15.0,37.46,C3222,New,In-Store,2023-11,Friday,4.0,Budget,1
44,2023-05-15,Glow Recipe,Makeup,Setting Powder,5.0,15.79,78.95,30.0,55.27,C1664,New,,2023-05,Monday,2.0,Budget,0
45,2023-01-21,Sephora Collection,Skincare,Niacinamide Toner,4.0,43.775000000000006,175.10000000000002,25.0,175.10000000000002,C2551,Medium Value,Online,2023-01,Saturday,1.0,Mid,0
46,2023-11-25,Glow Recipe,Skincare,Vitamin C Serum,3.0,72.51,217.53,15.0,184.9,C1456,Medium Value,Online,2023-11,Saturday,4.0,Premium,1
47,2023-06-16,,Skincare,SPF 50 Sunscreen,6.0,46.4,278.4,0.0,278.4,C2082,High Value,,2023-06,Friday,2.0,Mid,0
48,2023-10-01,Charlotte Tilbury,Fragrance,Eau de Parfum,4.0,59.59,238.36,0.0,238.36,C4276,High Value,,2023-10,Sunday,4.0,Premium,0
49,2023-03-30,Sephora Collection,Fragrance,Unknown Product,1.0,144.93,144.93,20.0,115.94,C1630,,In-Store,2023-03,Thursday,1.0,Luxury,0
50,2023-11-12,,Skincare,SPF 50 Sunscreen,1.0,22.69,22.69,0.0,22.69,C2552,Medium Value,In-Store,2023-11,Sunday,4.0,Budget,1
51,2023-01-14,Rare Beauty,Makeup,Lip Gloss,1.0,55.32,55.32,20.0,44.26,C2417,Medium Value,Online,2023-01,Saturday,1.0,Premium,0
52,2023-08-30,Charlotte Tilbury,Makeup,Highlighter Palette,4.0,43.775000000000006,175.10000000000002,10.0,175.10000000000002,,High Value,,2023-08,Wednesday,3.0,Mid,0
53,2023-09-22,Fenty Beauty,Makeup,Setting Powder,6.0,57.63,345.78,20.0,276.62,C1215,High Value,Online,2023-09,Friday,3.0,Premium,0
54,2023-12-12,Fenty Beauty,Haircare,Unknown Product,2.0,42.29,84.58,10.0,76.12,C2776,Low Value,Online,2023-12,Tuesday,4.0,Mid,1
55,2023-02-22,Fenty Beauty,Skincare,Unknown Product,6.0,45.76,274.56,0.0,274.56,C2696,Low Value,In-Store,2023-02,Wednesday,1.0,Mid,0
56,2023-12-06,Glow Recipe,Skincare,Overnight Face Mask,2.0,39.96,79.92,20.0,63.94,C3324,,In-Store,2023-12,Wednesday,4.0,Mid,1
57,2023-04-02,Laneige,Makeup,Volumizing Mascara,6.0,49.24,295.44,25.0,221.58,C3761,,,2023-04,Sunday,2.0,Mid,0
58,2023-09-21,Laneige,Makeup,Volumizing Mascara,4.0,53.88,215.52,15.0,183.19,C1492,Medium Value,Online,2023-09,Thursday,3.0,Premium,0
59,2023-02-04,Dior,Makeup,Cream Blush,3.0,50.69,152.07,25.0,114.05,C1862,High Value,In-Store,2023-02,Saturday,1.0,Premium,0
60,2023-07-25,Sephora Collection,Makeup,Lip Gloss,0.0,57.81,0.0,15.0,0.0,C3607,Medium Value,In-Store,2023-07,Tuesday,3.0,Premium,0
61,2023-03-22,Sephora Collection,Skincare,Gel Cleanser,1.0,34.09,34.09,25.0,25.57,C3321,Medium Value,,2023-03,Wednesday,1.0,Mid,0
62,2023-02-19,Laneige,Makeup,Highlighter Palette,6.0,15.59,93.54,5.0,88.86,C2283,High Value,,2023-02,Sunday,1.0,Budget,0
63,2023-12-26,Charlotte Tilbury,Fragrance,Rollerball Perfume,3.0,143.24,429.72,15.0,365.26,C2834,,In-Store,2023-12,Tuesday,4.0,Luxury,1
65,2023-02-23,Dior,Makeup,Setting Powder,3.0,45.0,135.0,0.0,135.0,C4667,Low Value,In-Store,2023-02,Thursday,1.0,Mid,0
66,2023-04-16,Sephora Collection,Haircare,Scalp Scrub,2.0,14.5,29.0,25.0,21.75,C4619,,In-Store,2023-04,Sunday,2.0,Budget,0
67,2023-09-17,Charlotte Tilbury,Haircare,Scalp Scrub,4.0,23.11,92.44,,92.44,C1871,Low Value,,2023-09,Sunday,3.0,Budget,0
68,2023-11-06,Dior,Fragrance,Rollerball Perfume,3.0,60.46,181.38,10.0,163.24,C3936,,,2023-11,Monday,4.0,Premium,1
69,2023-07-10,Charlotte Tilbury,Haircare,Repair Conditioner,1.0,18.86,18.86,10.0,16.97,C2461,Medium Value,In-Store,2023-07,Monday,3.0,Budget,0
71,2023-02-13,Sephora Collection,Skincare,Vitamin C Serum,0.0,23.62,0.0,25.0,0.0,C2629,Medium Value,,2023-02,Monday,1.0,Budget,0
74,2023-09-27,Rare Beauty,Fragrance,Travel Spray,2.0,138.27,276.54,5.0,262.71,C2900,High Value,,2023-09,Wednesday,3.0,Luxury,0
75,2023-12-17,Dior,Skincare,Vitamin C Serum,5.0,64.61,323.05,25.0,242.29,C2913,New,Online,2023-12,Sunday,4.0,Premium,1
76,2023-10-31,,Makeup,Liquid Foundation,5.0,27.71,138.55,10.0,124.7,C2603,,,2023-10,Tuesday,4.0,Mid,0
77,2023-09-28,Charlotte Tilbury,Skincare,Gel Cleanser,2.0,50.04,100.08,25.0,75.06,C4954,Medium Value,Online,2023-09,Thursday,3.0,Premium,0
78,2023-08-03,Glow Recipe,Skincare,Niacinamide Toner,2.0,74.03,148.06,5.0,140.66,C1551,,Online,2023-08,Thursday,3.0,Premium,0
79,2023-09-09,Glow Recipe,Fragrance,Body Mist,2.0,87.16,174.32,30.0,122.02,,High Value,Online,2023-09,Saturday,3.0,Premium,0
80,2023-07-09,Fenty Beauty,Skincare,Hydrating Moisturizer,6.0,36.33,217.98,10.0,196.18,C3971,New,,2023-07,Sunday,3.0,Mid,0
81,2023-10-23,Glow Recipe,Makeup,Lip Gloss,1.0,54.58,54.58,10.0,49.12,C3754,Medium Value,,2023-10,Monday,4.0,Premium,0
82,2023-08-01,Rare Beauty,Makeup,Liquid Foundation,2.0,49.83,99.66,20.0,79.73,C4075,Medium Value,In-Store,2023-08,Tuesday,3.0,Mid,0
83,2023-07-27,Glow Recipe,Haircare,Scalp Scrub,4.0,15.86,63.44,10.0,57.1,C1278,,Online,2023-07,Thursday,3.0,Budget,0
84,2023-08-25,Charlotte Tilbury,Skincare,Vitamin C Serum,1.0,65.46,65.46,10.0,58.91,C4580,New,In-Store,2023-08,Friday,3.0,Premium,0
85,2023-12-04,Fenty Beauty,Skincare,Vitamin C Serum,6.0,78.33,469.98,,469.98,C4156,,,2023-12,Monday,4.0,Premium,1
86,2023-02-22,Laneige,Haircare,Leave-in Treatment,4.0,43.9,175.6,15.0,149.26,C1843,Medium Value,,2023-02,Wednesday,1.0,Mid,0
87,2023-10-07,Fenty Beauty,Skincare,Niacinamide Toner,2.0,70.6,141.2,5.0,134.14,C1305,,Online,2023-10,Saturday,4.0,Premium,0
88,2023-08-05,Dior,Makeup,Liquid Foundation,6.0,23.17,139.02,5.0,132.07,C1495,Medium Value,,2023-08,Saturday,3.0,Budget,0
89,2023-09-09,Glow Recipe,Haircare,Scalp Scrub,6.0,43.775000000000006,262.65000000000003,30.0,262.65000000000003,C1212,,Online,2023-09,Saturday,3.0,Mid,0
90,2023-07-07,Glow Recipe,Skincare,Hydrating Moisturizer,2.0,51.76,103.52,,103.52,C3079,Medium Value,In-Store,2023-07,Friday,3.0,Premium,0
91,2023-02-10,Fenty Beauty,Fragrance,Unknown Product,2.0,62.26,124.52,5.0,118.29,C3773,New,Online,2023-02,Friday,1.0,Premium,0
92,2023-06-06,Sephora Collection,Skincare,Unknown Product,3.0,57.19,171.57,20.0,137.26,C3964,,In-Store,2023-06,Tuesday,2.0,Premium,0
93,2023-01-15,Glow Recipe,Fragrance,Rollerball Perfume,4.0,91.07,364.28,0.0,364.28,C2104,New,,2023-01,Sunday,1.0,Premium,0
94,2023-10-28,,Haircare,Repair Shampoo,3.0,21.39,64.17,25.0,48.13,C4269,New,,2023-10,Saturday,4.0,Budget,0
95,2023-03-06,Glow Recipe,Fragrance,Travel Spray,1.0,132.06,132.06,30.0,92.44,C4664,Low Value,,2023-03,Monday,1.0,Luxury,0
96,2023-12-11,Fenty Beauty,Makeup,Setting Powder,6.0,30.54,183.24,,183.24,C2363,High Value,Online,2023-12,Monday,4.0,Mid,1
97,2023-11-23,Glow Recipe,Haircare,Leave-in Treatment,5.0,45.35,226.75,25.0,170.06,C3230,New,Online,2023-11,Thursday,4.0,Mid,1
98,2023-01-09,Glow Recipe,Skincare,Vitamin C Serum,4.0,49.41,197.64,15.0,167.99,C2937,New,,2023-01,Monday,1.0,Mid,0
99,2023-12-10,Dior,Fragrance,Body Mist,2.0,31.37,62.74,25.0,47.05,C2824,Low Value,Online,2023-12,Sunday,4.0,Mid,1
100,2023-05-09,,Makeup,Liquid Foundation,3.0,46.72,140.16,0.0,140.16,C1901,New,Online,2023-05,Tuesday,2.0,Mid,0
102,2023-03-04,,Skincare,Gel Cleanser,6.0,43.775000000000006,262.65000000000003,30.0,262.65000000000003,C2506,Medium Value,,2023-03,Saturday,1.0,Mid,0
103,2023-05-19,Fenty Beauty,Haircare,Unknown Product,4.0,20.45,81.8,0.0,81.8,C3475,Low Value,In-Store,2023-05,Friday,2.0,Budget,0
104,2023-03-22,Charlotte Tilbury,Fragrance,Travel Spray,6.0,38.51,231.06,20.0,184.85,C1374,Medium Value,In-Store,2023-03,Wednesday,1.0,Mid,0
105,2023-06-12,Dior,Haircare,Scalp Scrub,4.0,39.75,159.0,10.0,143.1,C1463,High Value,Online,2023-06,Monday,2.0,Mid,0
106,2023-10-16,Laneige,Skincare,Niacinamide Toner,0.0,42.22,0.0,20.0,0.0,C2924,Medium Value,Online,2023-10,Monday,4.0,Mid,0
107,2023-09-18,Charlotte Tilbury,Haircare,Leave-in Treatment,6.0,44.04,264.24,0.0,264.24,C4140,Medium Value,Online,2023-09,Monday,3.0,Mid,0
108,2023-08-19,,Makeup,Matte Lipstick,6.0,30.01,180.06,25.0,135.05,C3244,Medium Value,In-Store,2023-08,Saturday,3.0,Mid,0
109,2023-02-10,Glow Recipe,Makeup,Volumizing Mascara,5.0,57.5,287.5,30.0,201.25,C2107,Medium Value,In-Store,2023-02,Friday,1.0,Premium,0
110,2023-01-28,Sephora Collection,Skincare,SPF 50 Sunscreen,2.0,35.23,70.46,20.0,56.37,C3878,Low Value,Online,2023-01,Saturday,1.0,Mid,0
112,2023-07-20,Rare Beauty,Makeup,Unknown Product,6.0,20.1,120.6,,120.6,C1680,,In-Store,2023-07,Thursday,3.0,Budget,0
113,2023-11-24,Fenty Beauty,Fragrance,Eau de Parfum,1.0,54.53,54.53,30.0,38.17,C4275,Medium Value,,2023-11,Friday,4.0,Premium,1
114,2023-09-25,Fenty Beauty,Makeup,Volumizing Mascara,2.0,48.31,96.62,25.0,72.47,,High Value,In-Store,2023-09,Monday,3.0,Mid,0
115,2023-02-02,Rare Beauty,Fragrance,Rollerball Perfume,3.0,102.44,307.32,25.0,230.49,C1668,High Value,,2023-02,Thursday,1.0,Luxury,0
116,2023-02-17,Sephora Collection,Skincare,SPF 50 Sunscreen,4.0,55.14,220.56,20.0,176.45,C4554,Low Value,In-Store,2023-02,Friday,1.0,Premium,0
117,2023-03-03,Laneige,Skincare,Vitamin C Serum,3.0,77.83,233.49,15.0,198.47,C4849,New,Online,2023-03,Friday,1.0,Premium,0
118,2023-08-04,Laneige,Fragrance,Body Mist,4.0,67.55,270.2,25.0,202.65,C2082,High Value,In-Store,2023-08,Friday,3.0,Premium,0
119,2023-10-20,Fenty Beauty,Haircare,Repair Shampoo,1.0,18.8,18.8,0.0,18.8,C3313,,,2023-10,Friday,4.0,Budget,0
120,2023-04-09,Dior,Makeup,Liquid Foundation,3.0,54.73,164.19,25.0,123.14,C2271,High Value,In-Store,2023-04,Sunday,2.0,Premium,0
121,2023-06-21,Charlotte Tilbury,Skincare,Overnight Face Mask,1.0,43.31,43.31,20.0,34.65,C1300,High Value,,2023-06,Wednesday,2.0,Mid,0
122,2023-12-26,Sephora Collection,Makeup,Lip Gloss,2.0,57.28,114.56,,114.56,C4491,New,Online,2023-12,Tuesday,4.0,Premium,1
123,2023-08-02,,Skincare,Gel Cleanser,6.0,59.69,358.14,10.0,322.33,C3704,Low Value,In-Store,2023-08,Wednesday,3.0,Premium,0
124,2023-02-04,Rare Beauty,Fragrance,Unknown Product,3.0,41.12,123.36,0.0,123.36,C2364,New,,2023-02,Saturday,1.0,Mid,0
125,,Charlotte Tilbury,Makeup,Matte Lipstick,3.0,38.07,114.21,20.0,91.37,C4993,Medium Value,Online,NaT,,,Mid,0
126,2023-04-11,Fenty Beauty,Skincare,Gel Cleanser,4.0,33.01,132.04,25.0,99.03,C2516,New,Online,2023-04,Tuesday,2.0,Mid,0
127,,,Haircare,Leave-in Treatment,1.0,51.37,51.37,30.0,35.96,C3040,,,NaT,,,Premium,0
128,2023-09-14,,Makeup,Lip Gloss,2.0,30.97,61.94,5.0,58.84,C4010,Low Value,Online,2023-09,Thursday,3.0,Mid,0
129,2023-01-05,Rare Beauty,Fragrance,Unknown Product,2.0,74.66,149.32,10.0,134.39,C2361,Medium Value,,2023-01,Thursday,1.0,Premium,0
130,2023-08-06,,Makeup,Unknown Product,2.0,24.01,48.02,,48.02,C1869,New,,2023-08,Sunday,3.0,Budget,0
131,2023-09-12,Laneige,Fragrance,Unknown Product,6.0,64.98,389.88,,389.88,C1489,New,Online,2023-09,Tuesday,3.0,Premium,0
132,2023-12-25,Dior,Makeup,Liquid Foundation,1.0,39.22,39.22,0.0,39.22,C3843,New,In-Store,2023-12,Monday,4.0,Mid,1
133,2023-10-10,Rare Beauty,Haircare,Unknown Product,5.0,46.28,231.4,20.0,185.12,C3817,,In-Store,2023-10,Tuesday,4.0,Mid,0
134,2023-07-26,Sephora Collection,Makeup,Cream Blush,4.0,52.51,210.04,25.0,157.53,C4697,High Value,,2023-07,Wednesday,3.0,Premium,0
135,2023-01-15,Sephora Collection,Haircare,Repair Conditioner,6.0,31.19,187.14,10.0,168.43,C3559,Medium Value,In-Store,2023-01,Sunday,1.0,Mid,0
136,2023-12-12,Sephora Collection,Makeup,Highlighter Palette,5.0,41.56,207.8,,207.8,C1874,High Value,,2023-12,Tuesday,4.0,Mid,1
137,2023-02-11,Dior,Makeup,Cream Blush,2.0,33.44,66.88,10.0,60.19,C1120,New,In-Store,2023-02,Saturday,1.0,Mid,0
138,2023-06-28,,Makeup,Setting Powder,1.0,38.24,38.24,5.0,36.33,C3761,High Value,Online,2023-06,Wednesday,2.0,Mid,0
139,2023-03-04,Dior,Fragrance,Rollerball Perfume,4.0,127.7,510.8,20.0,408.64,C4666,Medium Value,Online,2023-03,Saturday,1.0,Luxury,0
140,2023-12-18,Sephora Collection,Makeup,Unknown Product,2.0,26.25,52.5,,52.5,C4606,New,Online,2023-12,Monday,4.0,Mid,1
141,2023-08-19,Rare Beauty,Fragrance,Eau de Parfum,1.0,129.43,129.43,20.0,103.54,C2772,,In-Store,2023-08,Saturday,3.0,Luxury,0
142,2023-08-29,Rare Beauty,Skincare,Hydrating Moisturizer,1.0,34.83,34.83,5.0,33.09,C3928,,Online,2023-08,Tuesday,3.0,Mid,0
143,2023-02-21,Dior,Skincare,Overnight Face Mask,6.0,69.39,416.34,5.0,395.52,C3472,,In-Store,2023-02,Tuesday,1.0,Premium,0
144,2023-04-06,Sephora Collection,Haircare,Repair Shampoo,3.0,49.21,147.63,20.0,118.1,C3461,New,,2023-04,Thursday,2.0,Mid,0
145,2023-08-10,Charlotte Tilbury,Skincare,SPF 50 Sunscreen,5.0,46.47,232.35,10.0,209.12,,High Value,,2023-08,Thursday,3.0,Mid,0
146,2023-08-19,Charlotte Tilbury,Skincare,Niacinamide Toner,5.0,28.25,141.25,,141.25,C1449,,In-Store,2023-08,Saturday,3.0,Mid,0
147,2023-08-25,Laneige,Fragrance,Rollerball Perfume,1.0,49.36,49.36,10.0,44.42,C4485,New,In-Store,2023-08,Friday,3.0,Mid,0
148,2023-05-23,Rare Beauty,Makeup,Setting Powder,2.0,54.67,109.34,20.0,87.47,C2673,High Value,,2023-05,Tuesday,2.0,Premium,0
149,2023-06-20,Fenty Beauty,Makeup,Volumizing Mascara,3.0,24.54,73.62,25.0,55.22,C3253,Medium Value,In-Store,2023-06,Tuesday,2.0,Budget,0
150,2023-01-29,Sephora Collection,Makeup,Liquid Foundation,0.0,40.74,0.0,10.0,0.0,C3410,,Online,2023-01,Sunday,1.0,Mid,0
151,2023-02-05,Laneige,Skincare,Hydrating Moisturizer,3.0,72.03,216.09,,216.09,C3377,Low Value,Online,2023-02,Sunday,1.0,Premium,0
152,2023-01-13,Rare Beauty,Makeup,Cream Blush,6.0,33.54,201.24,25.0,150.93,C2920,Low Value,Online,2023-01,Friday,1.0,Mid,0
153,2023-06-09,Charlotte Tilbury,Skincare,SPF 50 Sunscreen,5.0,61.19,305.95,30.0,214.16,C1831,,Online,2023-06,Friday,2.0,Premium,0
154,2023-11-23,,Skincare,Hydrating Moisturizer,5.0,60.91,304.55,20.0,243.64,C2348,Low Value,Online,2023-11,Thursday,4.0,Premium,1
155,2023-07-06,Rare Beauty,Fragrance,Rollerball Perfume,5.0,90.94,454.7,10.0,409.23,C1192,New,In-Store,2023-07,Thursday,3.0,Premium,0
156,2023-08-31,Fenty Beauty,Fragrance,Travel Spray,3.0,110.79,332.37,,332.37,,,Online,2023-08,Thursday,3.0,Luxury,0
157,2023-03-27,Rare Beauty,Makeup,Liquid Foundation,1.0,26.4,26.4,20.0,21.12,C4893,High Value,Online,2023-03,Monday,1.0,Mid,0
158,2023-10-11,Fenty Beauty,Skincare,Hydrating Moisturizer,6.0,46.83,280.98,,280.98,C3383,New,,2023-10,Wednesday,4.0,Mid,0
159,2023-03-07,Laneige,Makeup,Unknown Product,6.0,50.62,303.72,0.0,303.72,C4484,Medium Value,,2023-03,Tuesday,1.0,Premium,0
160,2023-06-19,Charlotte Tilbury,Haircare,Repair Conditioner,3.0,33.86,101.58,5.0,96.5,C4764,New,In-Store,2023-06,Monday,2.0,Mid,0
161,2023-02-14,,Haircare,Hair Oil,6.0,22.53,135.18,5.0,128.42,C3565,High Value,,2023-02,Tuesday,1.0,Budget,0
162,2023-03-03,Sephora Collection,Skincare,SPF 50 Sunscreen,4.0,70.57,282.28,0.0,282.28,C3872,New,Online,2023-03,Friday,1.0,Premium,0
163,2023-05-14,Charlotte Tilbury,Skincare,Hydrating Moisturizer,4.0,67.84,271.36,,271.36,C2983,,,2023-05,Sunday,2.0,Premium,0
164,2023-10-11,Dior,Makeup,Highlighter Palette,6.0,24.91,149.46,5.0,141.99,C1205,Medium Value,,2023-10,Wednesday,4.0,Budget,0
165,2023-01-28,Dior,Skincare,Vitamin C Serum,3.0,40.91,122.73,15.0,104.32,C4193,Medium Value,,2023-01,Saturday,1.0,Mid,0
166,2023-04-18,Rare Beauty,Skincare,SPF 50 Sunscreen,1.0,59.02,59.02,20.0,47.22,C3952,High Value,,2023-04,Tuesday,2.0,Premium,0
167,2023-02-13,Charlotte Tilbury,Haircare,Repair Conditioner,0.0,43.775000000000006,0.0,,0.0,C2071,New,Online,2023-02,Monday,1.0,Mid,0
168,2023-12-06,Charlotte Tilbury,Skincare,Unknown Product,6.0,50.31,301.86,5.0,286.77,C3854,Low Value,Online,2023-12,Wednesday,4.0,Premium,1
169,2023-10-13,Dior,Makeup,Liquid Foundation,5.0,42.92,214.6,5.0,203.87,C3618,High Value,Online,2023-10,Friday,4.0,Mid,0
170,2023-11-27,Laneige,Makeup,Highlighter Palette,1.0,48.75,48.75,15.0,41.44,,Medium Value,Online,2023-11,Monday,4.0,Mid,1
171,2023-05-08,Sephora Collection,Fragrance,Travel Spray,5.0,132.31,661.55,0.0,661.55,C2493,Low Value,In-Store,2023-05,Monday,2.0,Luxury,0
172,2023-12-14,Dior,Skincare,Gel Cleanser,3.0,34.8,104.4,10.0,93.96,C2848,,,2023-12,Thursday,4.0,Mid,1
173,2023-08-19,Laneige,Haircare,Leave-in Treatment,4.0,51.22,204.88,10.0,184.39,C1394,New,In-Store,2023-08,Saturday,3.0,Premium,0
174,2023-07-09,Sephora Collection,Fragrance,Rollerball Perfume,2.0,83.26,166.52,,166.52,,New,In-Store,2023-07,Sunday,3.0,Premium,0
175,2023-08-13,Glow Recipe,Fragrance,Unknown Product,3.0,106.41,319.23,0.0,319.23,C4293,,Online,2023-08,Sunday,3.0,Luxury,0
176,2023-10-10,,Skincare,Overnight Face Mask,2.0,29.84,59.68,30.0,41.78,C4693,,,2023-10,Tuesday,4.0,Mid,0
177,2023-05-01,Laneige,Skincare,Unknown Product,5.0,21.91,109.55,25.0,82.16,C1974,High Value,,2023-05,Monday,2.0,Budget,0
179,2023-08-21,Fenty Beauty,Skincare,Vitamin C Serum,6.0,46.77,280.62,,280.62,C2093,,Online,2023-08,Monday,3.0,Mid,0
